Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
TEST VEILLE TOURISME USKA - ANJOU BLEU;Général;Général;238, Rue Jean-Pierre Raffin-Dugens;38420;MURIANETTE;49331;47.685809;-0.873048;06 52 85 23 51;;https://www.la-tentation-sucree.fr/;;oui;;Tout;30/12/2023||29/12/2024||||||||||||||07:00||13:00||16:00||19:00||07:00||13:00||16:00||19:00||07:00||13:00||16:00||19:00||07:00||13:00||16:00||19:00||06:30||13:00||16:00||19:00||07:00||||||12:30;;Tout;47.685809, -0.873048;Maine-et-Loire
A boire à manger;Restaurant;Bistrot / bar à vin;7 place de la Visitation;49100;ANGERS;49007;47.46665;-0.55662;02 41 72 86 91;contact@aboireamanger.com;http://www.aboireamanger.com;Facebook||https://www.facebook.com/%C3%80-boire-et-%C3%A0-manger-Angers-585823138131954/;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse;Anglais,Français;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||11:00||13:00|||| ; 05/04/2021||31/12/2021||||||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||18:00||22:00|||||||||||| ; 01/01/2022||17/07/2022||||||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00|||||||| ; 18/07/2022||31/08/2022||||||||||||||17:00||22:00||||||17:00||22:00||||||||||||||17:00||22:00||||||17:00||22:00|||||||||||| ; 01/09/2022||31/12/2022||||||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00||12:00||14:00||18:00||22:00|||||||| ; 01/01/2023||31/12/2023||||||17:00||00:00||||||17:00||00:00||||||17:00||00:00||||||17:00||00:00||||||17:00||00:00||||||17:00||00:00|||||||||||| ; 01/01/2024||31/12/2024||||||||||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||||10:00||21:00||||";;Cartes bancaires,Espèces,Tickets Restaurant;47.46665, -0.55662;Maine-et-Loire
Acropole Restaurant;Restaurant;Cuisine traditionnelle;Parc du Bon Puits RN 23;49480;VERRIERES-EN-ANJOU;49323;47.4977;-0.49149;02 41 60 87 88;acropole@brithotel.fr;https://hotel-angers.brithotel.fr/restauration/restaurant;Facebook||https://www.facebook.com/brithotelangers/;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse,Table à langer,WiFi;Anglais,Espagnol,Français;"01/01/2023||31/12/2023||||||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30|||||||||||||||||||| ; 01/01/2024||31/12/2024||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||||||12:00||14:00|||||||||||||||||||| ; 06/01/2025||19/12/2025||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||||||||||||||||||||";;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.4977, -0.49149;Maine-et-Loire
AMANDINE RESTAURANT;Restaurant;Général;45 Boulevard des Batignolles;44300;NANTES;44109;47.254493;-1.5282982;02 40 50 07 07;;http://www.brithotel.fr;;oui;;Tout;;;Tout;47.254493, -1.5282982;Loire-Atlantique
ART’N’BLUM;Restaurant;Cuisine traditionnelle;10 rue Léon Blum;44100;NANTES;44109;47.2192413;-1.5549187;02 40 89 41 56;restaurant.artnblum@gmail.com;www.restaurant-artnblum.com;;oui;;Tout;;;Tout;47.2192413, -1.5549187;Loire-Atlantique
AU BON LABOUREUR;Restaurant;Cuisine traditionnelle;6 Champs du Bourg;72110;BRIOSNE-LES-SABLES;72048;48.1743201;0.39452044;02 43 42 23 29;sam.colombe@hotmail.fr;;Facebook||https://www.facebook.com/Au-bon-Laboureur-157325258294440;oui;Banquet,Plats à emporter;Tout;;;Tout;48.1743201, 0.39452044;Sarthe
Au café gourmand;Restaurant;Brasserie;30 Avenue Henri Bertho;44500;LA BAULE-ESCOUBLAC;44055;47.2945;-2.35986;02 40 60 06 79;guillaumedavidpierre@orange.fr;;;oui;Service en terrasse;Tout;;;Cartes bancaires,Espèces,Tickets Restaurant;47.2945, -2.35986;Loire-Atlantique
AU PETIT JOSEPH;Restaurant;Pizzeria;1 place Jules Simon;44290;GUEMENE-PENFAO;44067;47.628671;-1.834333;02 40 51 13 93;;;;oui;;Tout;;;Tout;47.628671, -1.834333;Loire-Atlantique
Auberge de la Croix de Pierre;Restaurant;Cuisine traditionnelle;1 rue de la Croix de Pierre;49122;BEGROLLES-EN-MAUGES;49027;47.13836;-0.94669;02 41 63 81 57;lacroixdepierre@free.fr;http://aubergedelacroixdepierre.com;;oui;Chaise haute / Réhausseur,WiFi;Anglais,Français;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.13836, -0.94669;Maine-et-Loire
AUBERGE DU LASSAY;Restaurant;Grill - Rôtisserie;10, Grande Rue;53110;LASSAY-LES-CHATEAUX;53127;48.4379914;-0.4969533;02 43 00 39 37;josline.hary@sfr.fr;;Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1907786-d4811869-Reviews-Auberge_du_Lassay_Les_Chateaux-Lassay_les_Chateaux_Mayenne_Pays_de_la_Loire.html;oui;;Tout;;;Tout;48.4379914, -0.4969533;Mayenne
